subject,awareness,variance_mean,peak_to_peak_mean
10,Seen,6.615179544356198e-11,3.725123790380517e-05
10,Seen,9.565212784017101e-11,4.49745618945041e-05
10,Unseen,3.099869997730905e-11,2.7701634900991926e-05
10,Seen,4.6519750661000696e-11,3.419542488670418e-05
10,Unseen,3.120187453827566e-11,2.8087480923529042e-05
10,Seen,3.6981982330719706e-11,2.91002350336126e-05
10,Seen,3.9293801118785764e-11,3.0171766535892523e-05
10,Seen,5.3492833137673584e-11,3.374494544693578e-05
10,Seen,5.464193071937714e-11,3.508563929632946e-05
10,Seen,6.565153263523783e-11,3.605013378624301e-05
10,Seen,3.722002551907314e-11,3.0118597777351804e-05
10,Seen,4.086301588602864e-11,2.9080540643181773e-05
10,Seen,3.4766439409378864e-11,2.8461890868955277e-05
10,Seen,4.2039570329619656e-11,3.293523502644791e-05
10,Unseen,3.150877981980244e-11,2.7254822581337027e-05
10,Seen,3.486722328903022e-11,2.7867003269954666e-05
10,Seen,4.4908807881135813e-11,3.0843765777057965e-05
10,Seen,4.484086409653497e-11,2.910331843073517e-05
10,Seen,3.566247197225307e-11,2.903204420488953e-05
10,Seen,4.9700878482813604e-11,3.433538977245459e-05
10,Seen,3.650629106812744e-11,2.8289167863725988e-05
10,Seen,5.350703943972326e-11,3.223904576926194e-05
10,Seen,4.458906856160652e-11,2.943383663798354e-05
10,Unseen,4.116476294581718e-11,3.275229627986074e-05
10,Seen,4.106796801485053e-11,2.8999068759280104e-05
10,Unseen,5.589040565957989e-11,3.2122075942221555e-05
10,Seen,3.912397553590563e-11,2.849787940622505e-05
10,Seen,4.1041468285153425e-11,3.0300913153097538e-05
10,Seen,4.4397485940274057e-11,3.3610366179021985e-05
10,Unseen,3.40499557512213e-11,2.8948635754270075e-05
10,Unseen,4.393246515748381e-11,3.314396745561641e-05
10,Seen,3.195374531846249e-11,2.8876399268559427e-05
10,Seen,4.8849370819520916e-11,3.3813415555603366e-05
10,Seen,2.4299779132770706e-11,2.347456229161014e-05
10,Unseen,2.437510549779759e-11,2.3272212769837756e-05
10,Seen,2.9740199924746395e-11,2.5983795567008283e-05
