subject,trial_index,awareness,perm_entropy,lz_complexity,variance
10,0,Unseen,0.9687896320074164,0.8491625317171297,2.7974589584035015e-11
10,1,Unseen,0.9704514560373171,0.8093743982951186,7.330307337392272e-10
10,2,Unseen,0.9842603939967194,0.9758563249819542,1.4045913405929283e-10
10,5,Unseen,0.9794860828867156,0.8208920158646481,3.290708948098731e-11
10,6,Unseen,0.9780457432203042,0.9413034722733655,2.3027698252086057e-11
10,7,Unseen,0.9831392867029419,0.9821386618380612,2.190753861042554e-11
10,10,Seen,0.9804088790059355,0.9119859002781996,2.8039204875752836e-11
10,11,Seen,0.975253646057948,0.8585860370012902,3.241557774209963e-11
10,12,Unseen,0.9837611790504759,0.9549152021282642,2.5037934171826446e-11
10,13,Seen,0.986288860039227,0.9789974934100077,3.7450983919667377e-10
10,15,Unseen,0.981308548866544,0.9549152021282642,6.982234705089525e-11
10,16,Unseen,0.9894022246839621,1.0575267041113452,2.7375792669459023e-11
10,18,Unseen,0.9853273956291656,0.9926092232649062,3.57057842569745e-11
10,21,Unseen,0.972154177516419,0.8742918791415576,2.4848639347524967e-11
10,22,Seen,0.9733430346154199,0.8324096334341776,2.315755236257922e-11
10,23,Unseen,0.9732294508417759,0.8763859914269265,1.989720185435296e-11
10,24,Seen,0.9748937154525502,0.9067506195647771,1.5716309743588105e-11
10,25,Unseen,0.975178947980043,0.9088447318501461,1.9214932958848212e-11
10,27,Unseen,0.9819427083897898,0.8543978124305521,4.79173618517989e-10
10,29,Seen,0.9755142507441334,0.7392216367352569,3.7712349476423346e-10
10,30,Unseen,0.9744158617072937,0.8481154755744451,2.1745019325673243e-11
10,32,Seen,0.9697839427496472,0.8208920158646481,2.651942206223266e-11
10,33,Unseen,0.9673326456558542,0.8627742615720281,2.195875150881136e-11
10,35,Unseen,0.9711587358843794,0.8826683282830337,2.32728102130901e-11
10,37,Unseen,0.9797508198276821,0.8910447774245097,5.266190320671355e-11
10,39,Unseen,0.9777711789368835,0.9664328196977936,2.352034747821606e-11
10,40,Seen,0.9838056104151911,0.8502095878598142,3.700317342045164e-11
10,41,Unseen,0.9723754481724204,0.8502095878598142,5.710586773720479e-11
10,43,Seen,0.982848767711691,0.8910447774245097,2.5370254019600943e-11
10,44,Unseen,0.9718262903427727,0.8093743982951186,5.300042771743995e-11
10,45,Unseen,0.9797060681792964,0.931879966989205,2.679053048837598e-11
10,47,Unseen,0.9801269211922693,0.925597630133098,2.4520096027079328e-11
10,48,Seen,0.9832302813799325,0.9444446407014193,2.5242257492454807e-11
10,49,Unseen,0.9702697825486744,0.8973271142806166,3.510997461323759e-11
10,50,Unseen,0.9643505857990184,0.871150710713504,4.399221636210818e-11
10,51,Seen,0.9801440712853712,0.9297858547038362,2.786668617647542e-11
10,54,Unseen,0.976775575101745,0.8994212265659857,2.9815131398244045e-11
10,56,Unseen,0.9797149776505552,0.9444446407014191,2.134070585059353e-11
10,57,Unseen,0.9789918176779553,0.915127068706253,2.879968844985681e-11
10,59,Unseen,0.983535060716655,0.9203623494196758,2.5102510128536233e-11
10,61,Unseen,0.9708500912676442,0.854397812430552,1.972918866372224e-11
