subject,block,awareness,perm_entropy,lz_complexity
10,experimental,Unseen,0.9652864546635714,0.8617083687149857
10,experimental,Unseen,0.9665094507220489,0.8838034550922929
10,experimental,Unseen,0.9799279932721222,1.0033768637224267
10,experimental,Unseen,0.9702515219590838,0.9071982524329711
10,experimental,Unseen,0.963044682975412,0.9162962291765686
10,experimental,Unseen,0.9732102165485563,0.9864806211986034
10,experimental,Seen,0.983215637175684,0.9565872690410698
10,experimental,Seen,0.9723349112067129,0.9578869800044412
10,experimental,Unseen,0.9720486190771067,0.9669849567480382
10,experimental,Seen,0.9802620366077092,1.0449676145502993
10,experimental,Unseen,0.9855594737726799,1.0618638570741226
10,experimental,Unseen,0.9815346656507409,1.025471950099734
10,experimental,Unseen,0.98157878329149,0.9851809102352325
10,experimental,Unseen,0.9638891237580596,0.9708840896381512
10,experimental,Seen,0.9702769160963004,0.8864028770190349
10,experimental,Unseen,0.9696718140573362,0.894201142799261
10,experimental,Seen,0.9767791042402333,0.9890800431253454
10,experimental,Unseen,0.9619641638579943,0.9214950730300523
10,experimental,Unseen,0.9657629018481847,0.9929791760154585
10,experimental,Seen,0.9693301877042387,0.8019216643999187
10,experimental,Unseen,0.9688647527913156,0.9513884251875858
10,experimental,Seen,0.9659224528425251,0.8721060564219535
10,experimental,Unseen,0.9569356330123582,0.890302009909148
10,experimental,Unseen,0.9644256280588449,0.9006996976161161
10,experimental,Unseen,0.9755612920134082,1.0527658803305253
10,experimental,Unseen,0.9806678139583508,1.0007774417956847
10,experimental,Seen,0.9846521867267267,1.0046765746857977
10,experimental,Unseen,0.9639022975465933,0.9513884251875859
10,experimental,Seen,0.9705458478244489,0.886402877019035
10,experimental,Unseen,0.9658759868490969,1.0020771527590557
10,experimental,Unseen,0.9739969468834059,0.9227947839934235
10,experimental,Unseen,0.9738781274463456,1.0059762856491685
10,experimental,Seen,0.9714220575926358,1.026771661063105
10,experimental,Unseen,0.9730875727022392,0.9799820663817483
10,experimental,Unseen,0.9708844703156843,0.9435901594073597
10,experimental,Seen,0.9703407295266572,0.9253942059201659
10,experimental,Unseen,0.9744744771209409,0.9903797540887166
10,experimental,Unseen,0.9756634248413002,0.9812817773451196
10,experimental,Unseen,0.9674586711409122,0.9227947839934235
10,experimental,Unseen,0.9782265861758757,0.9747832225282641
10,experimental,Unseen,0.9628031321854863,0.9123970962864553
10,experimental,Unseen,0.9637596820583589,1.0007774417956845
10,experimental,Unseen,0.9750880055099362,0.952688136150957
10,experimental,Seen,0.9712729831185254,0.9370916045905049
