,n_subjects,mean_seen,mean_unseen,mean_diff,sd_diff,n_negative,n_positive,W,p_uncorrected,p_fdr_corrected,significant_fdr
perm_entropy_mean,11.0,0.9726576912006554,0.9723800501244789,0.00027764107617645926,0.0021738342581235238,8.0,3.0,27.0,0.6376953125,0.6376953125,False
lz_complexity_mean,11.0,0.8337077126878248,0.8700078928044217,-0.03630018011659682,0.019950982772372637,11.0,0.0,0.0,0.0009765625,0.001953125,True
