subject,trial_index,event_name,awareness,perm_entropy_mean,lz_complexity_mean
10,0,Present/Unseen/Left,Unseen,0.9746703528053856,0.8643498466925892
10,1,Present/Unseen/Right,Unseen,0.9710839007607709,0.809999247813339
10,2,Present/Unseen/Left,Unseen,0.9842373978641572,0.8696095820680005
10,5,Present/Unseen/Right,Unseen,0.9801244459849436,0.8748693174434118
10,6,Present/Unseen/Left,Unseen,0.9740049325185868,0.8950316363824885
10,7,Present/Unseen/Left,Unseen,0.9787012712323634,0.8888952784445086
10,10,Present/Seen/Right,Seen,0.9859252609691872,0.8205187185641618
10,11,Present/Seen/Right,Seen,0.9781170990392691,0.8354213021278271
10,12,Present/Unseen/Right,Unseen,0.9769196806971882,0.8967848815076254
10,13,Present/Seen/Left,Seen,0.9864278249241876,0.9888302505773231
10,15,Present/Unseen/Left,Unseen,0.9892299754181154,1.0081159469538312
10,16,Present/Unseen/Right,Unseen,0.9848946276705447,0.8853887881942343
10,18,Present/Unseen/Right,Unseen,0.9861772382074742,0.9379861419483472
10,21,Present/Unseen/Right,Unseen,0.9707614613893724,0.9160705778841336
10,22,Present/Seen/Left,Seen,0.9764461965952667,0.8117524929384765
10,23,Present/Unseen/Left,Unseen,0.9749073051338218,0.8845121656316659
10,24,Present/Seen/Right,Seen,0.9778219079789039,0.8082460026882022
10,25,Present/Unseen/Right,Unseen,0.9633784481652928,0.8038628898753593
10,27,Present/Unseen/Left,Unseen,0.9700956993605266,0.8932783912573515
10,29,Present/Seen/Left,Seen,0.9749721886338508,0.8047395124379279
10,30,Present/Unseen/Right,Unseen,0.9744968423886675,0.9081809748210168
10,32,Present/Seen/Right,Seen,0.9705181324290805,0.8555836210669037
10,33,Present/Unseen/Left,Unseen,0.969544481036902,0.7749343453105972
10,35,Present/Unseen/Left,Unseen,0.9712287512058849,0.8547069985043351
10,37,Present/Unseen/Left,Unseen,0.9842274750027314,0.9081809748210167
10,39,Present/Unseen/Right,Unseen,0.984489603015329,0.9485056126991697
10,40,Present/Seen/Right,Seen,0.9870786449665286,0.9292199163226619
10,41,Present/Unseen/Left,Unseen,0.9729636485847621,0.9195770681344076
10,43,Present/Seen/Right,Seen,0.9790291930275712,0.8038628898753593
10,44,Present/Unseen/Right,Unseen,0.9796494325963344,0.9081809748210168
10,45,Present/Unseen/Left,Unseen,0.9821647839002702,0.8669797143802948
10,47,Present/Unseen/Left,Unseen,0.9787114079048118,0.8959082589450569
10,48,Present/Seen/Right,Seen,0.9758356395285378,0.9642848188254041
10,49,Present/Unseen/Left,Unseen,0.9809864787177188,0.9467523675740329
10,50,Present/Unseen/Right,Unseen,0.9814686764028162,0.9037978620081738
10,51,Present/Seen/Left,Seen,0.9801242912711597,0.7994797770625167
10,54,Present/Unseen/Left,Unseen,0.9835173816673923,0.923083558384682
10,56,Present/Unseen/Left,Unseen,0.9809820117385728,0.9020446168830367
10,57,Present/Unseen/Right,Unseen,0.9750464821094457,0.8818822979439602
10,59,Present/Unseen/Right,Unseen,0.98201496587028,0.8564602436294722
10,61,Present/Unseen/Right,Unseen,0.9688652181377322,0.8459407728786497
10,62,Present/Unseen/Left,Unseen,0.9707565047147438,0.9467523675740328
10,64,Present/Unseen/Right,Unseen,0.9791336676088751,0.8634732241300207
10,65,Present/Seen/Left,Seen,0.9828433856958463,0.8503238856914925
